Country,Children,Education,Family,Life Satisfaction,Nationalism,Politics,Religion,Work
Algeria,1.72,3.597,2.889,6.3,2.49,1.347,2.867,2.546
Azerbaijan,1.76,5.824,2.928,6.66,2.622,1.711,1.948,2.456
Argentina,1.79,4.53,2.875,7.49,2.324,1.699,1.612,2.388
Australia,1.66,3.682,2.903,7.2,2.646,1.995,1.042,2.02
Armenia,2,5.685,2.954,5.24,2.608,1.672,2.432,2.607
Brazil,1.97,3.965,2.858,7.84,2.046,1.74,2.376,2.605
Belarus,1.27,6.046,2.856,5.78,1.964,1.838,1.453,2.128
Chile,1.92,4.482,2.903,7.27,2.406,1.616,1.689,2.397
China,1.44,4.168,2.832,6.85,1.879,1.851,0.534,2.106
Taiwan,1.68,5.807,2.891,6.9,1.712,1.863,1.603,2.466
Colombia,1.95,4.65,2.844,8.39,2.765,1.573,2.408,2.74
Cyprus,1.43,5.291,2.916,7.16,2.292,1.66,2.241,2.554
Ecuador,2.18,4.252,2.979,7.92,2.886,1.602,2.524,2.829
Estonia,1.41,5.638,2.853,6.25,1.845,1.886,0.956,2.264
Georgia,1.58,6.128,2.983,5.45,2.711,1.856,2.81,2.569
Palestine,2.76,5.147,2.949,5.62,2.601,1.786,2.836,2.421
Germany,1.4,3.835,2.722,7.36,1.784,2.007,1.252,2.091
Ghana,1.85,2.881,2.94,6.14,2.941,1.584,2.896,2.933
Haiti,1.21,3.217,2.676,5.59,2.384,1.713,1.949,2.569
Hong Kong,,4.878,2.822,6.85,1.83,2.103,1.227,2.066
India,2.56,3.066,2.936,6.52,2.621,1.581,2.552,2.68
Iraq,2.62,3.903,2.92,5.91,2.356,1.757,2.82,2.544
Japan,1.57,5.56,2.866,6.91,1.798,1.783,0.766,2.289
Kazakhstan,1.61,5.664,2.916,7.23,2.548,1.965,1.651,2.426
Jordan,3.28,4.207,2.956,6.61,2.818,1.611,2.925,2.47
South Korea,1.58,5.614,2.896,6.51,2.085,2.028,1.602,2.468
Kuwait,2.29,5.646,2.9,7.21,2.602,1.387,2.764,2.631
Kyrgyzstan,2.35,5.778,2.96,6.96,2.46,2.092,2.203,2.553
Lebanon,1.5,5.128,2.521,6.5,2.112,1.49,2.187,2.373
Libya,1.89,5.019,2.959,7.25,2.645,1.474,2.91,2.623
Malaysia,2.29,4.051,2.972,7.13,2.599,1.884,2.813,2.779
Mexico,2.26,4.236,2.97,8.51,2.78,1.709,2.372,2.808
Morocco,1.78,1.661,2.894,5.94,2.546,1.254,2.871,2.755
Netherlands,1.61,4.786,2.764,7.49,1.946,2.145,0.9,1.991
New Zealand,2.15,6.149,2.892,7.65,2.438,2.046,1.188,2.053
Nigeria,1.83,3.791,2.98,6.25,2.581,1.685,2.866,2.669
Pakistan,2.29,2.962,2.935,7.54,2.708,1.794,2.857,2.579
Peru,2.01,4.634,2.848,7.14,2.537,1.691,2.26,2.617
Philippines,2.84,4.459,2.987,7.33,2.824,1.743,2.837,2.879
Poland,1.64,4.423,2.894,7.09,2.519,1.941,2.2,2.466
Qatar,3.02,5.67,2.987,8,2.977,1.667,2.987,2.775
Romania,1.49,5.255,2.914,6.69,2.225,1.651,2.308,2.427
Russia,1.27,5.48,2.817,6.17,1.955,1.711,1.284,2.03
Rwanda,1.98,3.738,2.902,6.47,2.8,1.865,2.091,2.575
Singapore,1.64,4.313,2.921,6.96,2.361,2.028,2.143,2.225
Slovenia,1.51,4.646,2.869,7.35,2.265,1.645,1.175,2.265
South Africa,1.48,4.847,2.906,6.63,2.472,1.541,2.334,2.271
Zimbabwe,2.25,3.781,2.965,5.81,2.709,1.626,2.784,2.815
Spain,1.43,3.68,2.903,6.79,2.335,1.659,1.059,2.396
Sweden,1.44,5.449,2.869,7.55,2.121,2.004,0.988,2.276
Thailand,1.84,3.698,2.859,7.57,2.787,1.678,2.415,2.56
Trinidad and Tobago,2.24,3.555,2.924,7.47,2.829,1.595,2.662,2.562
Tunisia,1.67,3.122,2.966,5.58,2.487,1.487,2.926,2.785
Turkey,1.84,3.864,2.949,7.24,2.598,1.777,2.575,2.241
Ukraine,1.33,5.718,2.905,5.9,1.781,1.768,1.744,2.222
Egypt,1.37,4.067,2.971,4.85,2.598,1.71,2.937,2.353
United States,1.69,6.698,2.881,7.37,2.363,2.062,1.954,2.083
Uruguay,1.86,3.641,2.865,7.6,2.402,1.554,1.276,2.479
Uzbekistan,2.56,4.857,2.97,7.89,2.84,1.716,1.999,2.492
Yemen,2.92,2.475,2.938,5.89,2.768,1.663,2.934,2.48
